State_code,date,population
AN,2021-10-31,397000
AP,2021-10-31,52221000
AR,2021-10-31,1504000
AS,2021-10-31,34293000
BR,2021-10-31,119520000
CH,2021-10-31,1179000
CT,2021-10-31,28724000
DL,2021-10-31,19814000
DN,2021-10-31,959000
GA,2021-10-31,1540000
GJ,2021-10-31,67936000
HP,2021-10-31,7300000
HR,2021-10-31,28672000
JH,2021-10-31,37403000
JK,2021-10-31,13203000
KA,2021-10-31,65798000
KL,2021-10-31,35125000
LA,2021-10-31,293000
MH,2021-10-31,122153000
ML,2021-10-31,3224000
MN,2021-10-31,3103000
MP,2021-10-31,82232000
MZ,2021-10-31,1192000
NL,2021-10-31,2150000
OR,2021-10-31,43671000
PB,2021-10-31,29859000
PY,2021-10-31,1504000
RJ,2021-10-31,77264000
SK,2021-10-31,664000
TG,2021-10-31,37220000
TN,2021-10-31,75695000
TR,2021-10-31,3992000
UP,2021-10-31,224979000
UT,2021-10-31,11141000
WB,2021-10-31,96906000
